ID,Fecha,Informacion,Conductividad (μS/cm),Temperatura (°C),pH,x,y,Elevacion,Profundidad,Latitud,Longitud,2H,18O,comment,d-excess,Nombre,Tipo_Fuente,Localizacion_geologia,Tipo,Fuente,Mes,Temporada,P (mm),Año,UnidadGeologicaProf,UnidadGeoProf,NIDOS
,03/15/2005,,,,,,,996,,7.321,-73.819,-3.18,-1.99,Apto Bucaramanga,12.74,Apto Bucaramanga,Lluvia,Sur,Lluvia,GNIP,3,,,2005,J3g,J,
K11,02/01/2022,,,,,,,996,,8.856712851,-73.81877451,-2.71,-2.25,,15.29,Estación de la UIS,Lluvia,Sur,Lluvia,Kale_lluvia,2,Seca,,2022,,,
K5,01/01/2022,,,,,,,1432,,8.856712851,-73.81877451,1.07,-1.61,,13.95,Estación Oiba,Lluvia,Sur,Lluvia,Kale_lluvia,1,Seca,,2022,,,
K2,01/01/2022,,,,,,,738,,7.315,-73.815,3.31,-1.16,,12.59,Estación Llano Grande,Lluvia,Sur,Lluvia,Kale_lluvia,1,Seca,,2022,,,
K7,01/01/2022,,,,,,,344,,7.315,-73.815,5.16,-1.05,,13.56,Predio La Joya,Lluvia,Sur,Lluvia,Kale_lluvia,1,Seca,,2022,,,
K4,01/01/2022,,,,,,,1038,,7.315,-73.815,5.99,-0.83,,12.63,Estación Los Canelos,Lluvia,Sur,Lluvia,Kale_lluvia,1,Seca,,2022,,,
K3,01/01/2022,,,,,,,996,,7.315,-73.815,7.35,-1,,15.35,Estación de la UIS,Lluvia,Sur,Lluvia,Kale_lluvia,1,Seca,,2022,,,
K12,02/01/2022,,,,,,,1038,,7.315,-73.815,7.46,-0.73,,13.3,Estación Los Canelos,Lluvia,Sur,Lluvia,Kale_lluvia,2,Seca,,2022,,,
K1,01/01/2022,,,,,,,1921,,7.315,-73.815,8.84,-0.75,,14.84,Escuela Agrícola Cachira,Lluvia,Sur,Lluvia,Kale_lluvia,1,Seca,,2022,,,
K6,01/01/2022,,,,,,,402,,7.315,-73.815,12.63,0.59,,7.91,Predio No hay como la mano de Dios,Lluvia,Sur,Lluvia,Kale_lluvia,1,Seca,,2022,,,
K101,12/01/2022,,,,,,,1432,,7.315,-73.815,50.98,6.38,,-0.06,Estación Oiba,Lluvia,Sur,Lluvia,Kale_lluvia,12,Seca,,2022,,,
,03/31/2005,,,,,1111367.4,1277252.02,1428,,7.025883897,-73.80976306,,-2.49,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,3,,,2005,NPb,,
,03/31/2006,,,,,1111367.4,1277252.02,1428,,7.025883897,-73.80976306,,-2.69,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,3,,,2006,NPb,,
,02/28/2005,,,,,1111367.4,1277252.02,1428,,7.324,-73.809,,-3.03,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,2,,,2005,NPb,,
,01/31/2005,,,,,1111367.4,1277252.02,1428,,7.168053584,-73.80802412,,-3.68,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,1,,,2005,NPb,,
,12/31/2004,,8.9,,5.37,1111367.4,1277252.02,1428,,7.324,-73.802,,-3.82,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,12,,,2004,NPb,,
,01/31/2007,,,,,1111367.4,1277252.02,1428,,7.244,-73.787,,-4.03,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,1,,,2007,NPb,,
,09/30/2005,,,,,1111367.4,1277252.02,1428,,7.246887595,-73.78582924,,-5.75,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,9,,,2005,NPb,,
,08/31/2005,,,,,1111367.4,1277252.02,1428,,7.246100703,-73.78547661,,-6.5,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,8,,,2005,NPb,,
,07/31/2005,,,,,1111367.4,1277252.02,1428,,7.246100703,-73.78547661,,-6.86,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,7,,,2005,NPb,,
,04/30/2005,,,,,1111367.4,1277252.02,1428,,7.183943407,-73.78301764,,-7.29,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,4,,,2005,NPb,,
,11/30/2004,,8.2,,5.88,1111367.4,1277252.02,1428,,7.420589595,-73.77711974,,-8.13,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,11,,,2004,NPb,,
,06/30/2005,,,,,1111367.4,1277252.02,1428,,7.324405101,-73.77132503,,-8.51,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,6,,,2005,NPb,,
,10/31/2006,,,,,1111367.4,1277252.02,1428,,7.324477198,-73.77097178,,-8.91,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,10,,,2006,NPb,,
,08/31/2006,,,,,1111367.4,1277252.02,1428,,7.145989003,-73.74964594,,-9.34,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,8,,,2006,NPb,,
,11/30/2006,,,,,1111367.4,1277252.02,1428,,8.190999273,-73.7472751,,-9.97,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,11,,,2006,NPb,,
,05/31/2005,,,,,1111367.4,1277252.02,1428,,7.247,-73.747,,-12.99,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,5,,,2005,NPb,,
,06/30/2006,,,,,1111367.4,1277252.02,1428,,8.318593337,-73.74476345,,-13.93,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,6,,,2006,NPb,,
,04/30/2006,,,,,1111367.4,1277252.02,1428,,8.318593337,-73.74476345,,-15.49,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,4,,,2006,NPb,,
,05/31/2006,,,,,1111367.4,1277252.02,1428,,8.303565905,-73.74451286,,-19.61,San Antonio,,San Antonio,Lluvia,Sur,Lluvia,GNIP,5,,,2006,NPb,,
K96,11/01/2022,,,,,,,100,0,8.660493984,-73.73763626,-72.77,-10.62,,12.19,Manati Blanco,Subterranea,Sur,Manantial,Kale_lluvia,11,Humeda,,2022,,,Sur
S68,11/11/2020,,296,,5.64,1068896,1301894,132,355,8.660493984,-73.73763626,-62.55,-9.04,ABA - Santos 6 C Provincia - 355m,9.77,Santos 6 ABA,Subterranea,Sur,ABA,Campo,11,Humeda,,2020,N1r (U3),N1r ,Sur
,11/10/2020,,450,,7.98,1016714,1266149,74,300,7.455481093,-73.73719976,-67.26,-9.8,ABA,11.14,PC 09 ABAS,Subterranea,Sur,ABA,Campo,11,Humeda,,2020,N1r (U1),N1r ,
,11/10/2020,,548,,7.54,1015789,1266691,74,310,8.195186174,-73.73710757,-66.66,-9.65,ABA-310m,10.54,PC 11R ABAS,Subterranea,Sur,ABA,Campo,11,Humeda,,2020,N1r (U1),N1r ,
,11/10/2020,,445,,8.52,1016951,1264958,74,335,8.195186174,-73.73710757,-66.23,-9.52,ABA-REUBICADO - 335m,9.93,PC 8R ABAS,Subterranea,Sur,ABA,Campo,11,Humeda,,2020,N1r (U1),N1r ,
118,03/17/2021,,,,,1041174,1399372,50,168,7.324777129,-73.73546132,-62.9711,-9.1561,La Esperanza Puerto Mosquito,10.2777,La Esperanza Pto Mosquito,Subterranea,Norte,Pozo Profundo,Campo,3,Seca,,2021,N1r (U3),N1r ,
