ID,Codigo,Nombre,Zona,Mes,Ano,Elevacion,Latitud,Longitud,Tipo,Clase,Informacion,Comentarios,CE,Temperatura,pH,OD_mg/L,2H,18O,Fecha
U-020,Tot,TOT Hidráulica (Lluvia),CAMPUS,May,2023,,4.638585,-74.081785,Lluvia,Lluvia,Lluvia,,32.5,,8.58,,-61.89,-9.26,5/31/2023
U-021,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Ago,2023,,4.639815,-74.080912,Pozo,Subterranea,Pozo,,,,,,-61.72,-9.16,8/29/2023
U-022,PA02,PZ-227-IV-D-103 (140m),CAMPUS,Ago,2023,,4.639725,-74.080934,Piezometro,Subterranea,Piezometro,,,,,,-57.25,-8.95,8/29/2023
U-023,M2-PA25,Genetica (30m),CAMPUS,Ago,2023,,4.642766,-74.082234,Piezometro,Subterranea,Piezometro,,,,,,-58.42,-8.98,8/29/2023
U-024,M5-PA05,Hidraulica3 (7m),CAMPUS,Ago,2023,,4.638826,-74.081446,Piezometro,Subterranea,Piezometro,,,,,,-59.78,-9,8/29/2023
U-025,Tot,TOT Hidráulica (Lluvia),CAMPUS,Ago,2023,,4.638585,-74.081785,Lluvia,Lluvia,Lluvia,,,,,,-61.4,-9.36,8/29/2023
U-026,Tot,TOT Hidráulica (Lluvia),CAMPUS,Dic,2023,,4.638585,-74.081785,Lluvia,Lluvia,Lluvia,810 mL/mes,30,20,6.9,,-60.57,-8.92,12/28/2023
U-027,Tot,TOT Hidráulica (Lluvia),CAMPUS,Dic,2023,,4.638585,-74.081785,Lluvia,Lluvia,Lluvia,1105 mL/mes,30,25.1,5.69,,-60.49,-9.23,11/30/2023
U-028,Tot,TOT Hidráulica (Lluvia),CAMPUS,Feb,2024,,4.638585,-74.081785,Lluvia,Lluvia,Lluvia,1230 mL/mes,60,26.4,5.2,,-58.71,-9.04,2/29/2024
U-029,Tot,TOT Hidráulica (Lluvia),CAMPUS,Oct,2023,,4.638585,-74.081785,Lluvia,Lluvia,Lluvia,1550 mL/mes,10,21.76,6.97,6.72,-59.7,-9.3,10/31/2023
U-030,Tot,TOT Hidráulica (Lluvia),CAMPUS,Abr,2024,,4.638585,-74.081785,Lluvia,Lluvia,Lluvia,760 mL/mes,20,21.9,6.6,,-59.67,-9.05,3/31/2024
U-031,Tot,TOT Hidráulica (Lluvia),CAMPUS,Abr,2024,,4.638585,-74.081785,Lluvia,Lluvia,Lluvia,1350 mL/mes,20,23.5,7.36,,-61.32,-9.2,4/30/2024
U-032,PA34,Canchas 53,CAMPUS,Ene,2024,,999,,,,,,,,,,,,
U-033,PA36,Uriel Gutierrez,CAMPUS,Ene,2024,,999,,,,,,,,,,,,
U-034,PA35,CyT,CAMPUS,Ene,2024,,998,,,,,,,,,,,,
U-035,M5-PA05,Hidraulica3 (7m),CAMPUS,Ene,2024,,4.638826,-74.081446,Piezometro,Subterranea,Piezometro,,,,,,-58.06,-8.77,1/31/2024
U-036,PA38,Ancizar,CAMPUS,Ene,2024,,999,,,,,,,,,,,,
U-037,,Concha acustica,CAMPUS,Ene,2024,,,,Piezometro,Subterranea,Piezometro,,,,,,-57.74,-8.38,1/31/2024
U-038,Tot,TOT Hidráulica (Lluvia),CAMPUS,Ene,2024,,4.638585,-74.081785,Lluvia,Lluvia,Lluvia,450 mL/mes,70,22.7,7.49,,-35.54,-6.61,1/31/2024
U-039,PA37,Museo de arte,CAMPUS,Ene,2024,,999,,,,,,,,,,,,
U-040,PA32,Reservorio,CAMPUS,Ene,2024,,,,Superficial,Lluvia,Superficial,,,,,,-55.93,-8.63,1/31/2024
U-041,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Nov,2023,,4.639815,-74.080912,Pozo,Subterranea,Bombeo1,5:30,,,,,-130.64,-17.88,11/22/2023
U-042,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Nov,2023,,4.639815,-74.080912,Pozo,Subterranea,Bombeo1,11:27,,,,,-41.84,-6.94,11/22/2023
U-043,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Nov,2023,,4.639815,-74.080912,Pozo,Subterranea,Bombeo2,4,,,,,-46.35,-7.28,11/27/2023
U-044,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Nov,2023,,4.639815,-74.080912,Pozo,Subterranea,Bombeo2,8,,,,,-104.37,-14.79,11/27/2023
U-045,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Nov,2023,,4.639815,-74.080912,Pozo,Subterranea,Bombeo2,12,,,,,-61.86,-9.5,11/28/2023
U-046,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Nov,2023,,4.639815,-74.080912,Pozo,Subterranea,Bombeo2,16,,,,,-53.56,-8.63,11/28/2023
U-047,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Nov,2023,,4.639815,-74.080912,Pozo,Subterranea,Bombeo2,21,,,,,,,
U-048,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Nov,2023,,4.639815,-74.080912,Pozo,Subterranea,Bombeo2,36,,,,,,,
U-049,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Nov,2023,,4.639815,-74.080912,Pozo,Subterranea,Bombeo2,47,,,,,-19.91,-4.34,11/29/2023
U-050,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Nov,2023,,4.639815,-74.080912,Pozo,Subterranea,Bombeo2,48.5,,,,,-59.66,-8.52,11/29/2023
G-01,M01,Salida Humedal Patiño ,TORCA,Ago,2023,2549,4.7869,-74.0392,Humedal ,Superficial,Salida Humedal Patiño ,Ubicado humedal torca ,225,15.9,6.6,,-65.16,-9.1,6/30/2023
G-02,M02,Quebrada Aguas Calientes ,TORCA,Ago,2023,2555.94,4.7832,-74.0394,Quebrada ,Superficial,Quebrada Aguas Calientes ,Se reduce el espacio y aumenta la velocidad ,186,16.2,7.2,,-67.41,-9.99,6/30/2023
G-03,M03,Quebrada El Perro ,TORCA,Ago,2023,2554.83,4.7832,-74.0395,Quebrada ,Superficial,Quebrada El Perro ,,448,14.5,7.3,,-63.6,-9.41,6/30/2023
G-04,M04,Sector 6-Guaymaral ,TORCA,Ago,2023,,4.8024,-74.0393,Humedal ,Superficial,Sector 6 Guaymaral ,,440,19.7,7.6,,-64.83,-8.94,6/30/2023
G-05,M05,Sector 5-Guaymaral ,TORCA,Ago,2023,2548,4.8058,-74.0432,Humedal ,Superficial,Sector 5 Fundación Guaymaral ,,370,18.36,7.6,,-70.39,-9.72,6/30/2023
